Team_Name,Player_Name,Uploaded_Date,Category_Name,Format_Name,Element_Name,Percentage_Time,Poss_Per_Game,Points,PPP,Rank,Rating,FG_miss,FG_Made,FGA,FG,Adjusted_FG,Percent_Turnover,Percent_FT,Percent_Shooting_Foul,Percent_Score
Aurora University,Ty Carlson,2019-1-9,Play Types,Offensive,Hand Off,46.2%,0.4,0.4,1,-,-,0.3,0.1,0.4,33.3%,50%,0%,0%,0%,"33.3%
"
Aurora University,Bailey Vance,2019-1-9,Play Types,Offensive,Hand Off,23.1%,0.2,0.1,0.667,-,-,0.1,0.1,0.1,50%,50%,33.3%,0%,0%,"33.3%
"
Aurora University,Rashad Johnson,2019-1-9,Play Types,Offensive,Hand Off,7.7%,0.1,0.4,3,-,-,0,0.1,0.1,100%,150%,0%,0%,0%,"100%
"
Aurora University,Garrett Hoffman,2019-1-9,Play Types,Offensive,Hand Off,7.7%,0.1,0,0,-,-,0.1,0,0.1,0%,0%,0%,0%,0%,"0%
"
Aurora University,Brandon James,2019-1-9,Play Types,Offensive,Hand Off,7.7%,0.1,0.1,2,-,-,0,0.1,0.1,100%,100%,0%,0%,0%,"100%
"
Aurora University,Jarek Hotwagner,2019-1-9,Play Types,Offensive,Hand Off,7.7%,0.1,0,0,-,-,0.1,0,0.1,0%,0%,0%,0%,0%,"0%
"
Aurora University,Jarek Hotwagner,2019-1-9,Play Types,Offensive,Hand Off,18.6%,1.4,0.1,0.053,4%,Poor,0.1,0,0.1,0%,0%,84.2%,5.3%,0%,"5.3%
"
Aurora University,Bailey Vance,2019-1-9,Play Types,Offensive,Hand Off,12.7%,0.9,0.6,0.692,76%,Very Good,0.1,0.2,0.3,75%,75%,61.5%,15.4%,7.7%,"30.8%
"
Aurora University,Brandon James,2019-1-9,Play Types,Offensive,Hand Off,12.7%,0.9,0.4,0.385,37%,Average,0.1,0.1,0.2,66.7%,83.3%,69.2%,7.7%,0%,"15.4%
"
Aurora University,Matt Dunn,2019-1-9,Play Types,Offensive,Hand Off,11.8%,1.2,0.5,0.417,42%,Average,0.2,0.1,0.3,33.3%,33.3%,58.3%,16.7%,0%,"25%
"
Aurora University,Garrett Hoffman,2019-1-9,Play Types,Offensive,Hand Off,6.9%,0.8,0.3,0.429,-,-,0,0,0,-,-,71.4%,28.6%,0%,"28.6%
"
Aurora University,Deante Walker,2019-1-9,Play Types,Offensive,Hand Off,6.9%,0.7,0.6,0.857,-,-,0.1,0,0.1,0%,0%,14.3%,71.4%,28.6%,"42.9%
"
Aurora University,Jesse Young,2019-1-9,Play Types,Offensive,Hand Off,5.9%,0.5,0.5,1,-,-,0.2,0.3,0.5,60%,60%,16.7%,16.7%,16.7%,"50%
"
Aurora University,Ty Carlson,2019-1-9,Play Types,Offensive,Hand Off,4.9%,0.4,0.1,0.4,-,-,0,0,0,-,-,40%,60%,0%,"40%
"
Aurora University,Demetrius Pointer,2019-1-9,Play Types,Offensive,Hand Off,4.9%,0.7,0,0,-,-,0.3,0,0.3,0%,0%,40%,20%,0%,"0%
"
Aurora University,Mike Finley,2019-1-9,Play Types,Offensive,Hand Off,3.9%,0.3,0,0,-,-,0,0,0,-,-,100%,0%,0%,"0%
"
Aurora University,Rashad Johnson,2019-1-9,Play Types,Offensive,Hand Off,3.9%,0.6,0.7,1.25,-,-,0,0.1,0.1,100%,100%,50%,50%,25%,"50%
"
Aurora University,Max Vickers,2019-1-9,Play Types,Offensive,Hand Off,2.9%,1,0.7,0.667,-,-,0.3,0,0.3,0%,0%,33.3%,33.3%,0%,"33.3%
"
Aurora University,Justin Wierzgac,2019-1-9,Play Types,Offensive,Hand Off,2.9%,0.3,0.1,0.333,-,-,0.1,0,0.1,0%,0%,33.3%,33.3%,33.3%,"33.3%
"
Aurora University,Ethan Conroy,2019-1-9,Play Types,Offensive,Hand Off,1%,0.1,0,0,-,-,0,0,0,-,-,100%,0%,0%,"0%
"
